Origin,Destn,areabrkup,Jul-15 to Aug08,May edge,Var
VPIH,AMDH,"{""sguj-amda"":1.27,""sguj-ncrnonup"":3.76,""sguj-ncrup"":0.78,""sguj-pnpf"":0.09,""sguj-sjaia"":0.23}",6.13,3.8,2.33
BOMH,SNRH,"{""amda-snra"":0.22,""blraexnktk-ixub"":0.56,""blraexnktk-snra"":0.95,""boma-snra"":3.52,""cbea-ixub"":0.16,""coka-ixub"":0,""coka-snra"":0.1,""ixca-snra"":0.47,""jspa-snra"":0,""ncrnonup-ixub"":0.7,""ncrnonup-snra"":0.62,""ncrup-ixub"":0.95,""ncrup-snra"":0.44,""orsa-snra"":0.03,""pnpf-snra"":0}",8.72,6.5,2.22
SNRH,PNQH,"{""ixub-apda"":0.04,""ixub-blraexnktk"":0.46,""ixub-cbea"":0.48,""ixub-coka"":1.46,""ixub-goia"":0.02,""ixub-hyda"":0.15,""ixub-ixma"":0.5,""ixub-jaia"":0.01,""ixub-maaa"":0.63,""ixub-nktk"":0.12,""ixub-pnqa"":0.24,""ixub-tirb"":0,""snra-apda"":0.51,""snra-blraexnktk"":5.29,""snra-cbea"":0.27,""snra-ccua"":0.85,""snra-coka"":0.21,""snra-goia"":0.17,""snra-guaa"":0.46,""snra-hyda"":0.87,""snra-ixma"":0.22,""snra-jaia"":0.8,""snra-maaa"":2.01,""snra-naga"":0.09,""snra-nktk"":0,""snra-pnqa"":0.45,""snra-tirb"":0.03}",16.34,14.13,2.21
HYDH,BLRH,"{""cgsa-blraexnktk"":0.03,""cgsa-cbea"":0,""cgsa-coka"":0,""hyda-blraexnktk"":4.05,""hyda-cbea"":0.67,""hyda-coka"":0.86,""hyda-ixma"":0.43,""hyda-nktk"":0.49,""naga-blraexnktk"":1.05,""naga-cbea"":0.21,""naga-coka"":0.33,""naga-ixma"":0.3,""tirb-blraexnktk"":0.37,""tirb-cbea"":0.01,""tirb-nktk"":0.01}",8.81,6.68,2.13
DELH,JAIH,"{""apda-jaia"":0.04,""ccua-jaia"":1.26,""eastukna-jaia"":0.39,""eastup-jaia"":0.63,""guaa-jaia"":0,""hyda-jaia"":0.5,""ixca-jaia"":1.73,""jspa-jaia"":0.02,""ncrnonup-jaia"":8.09,""ncrup-jaia"":0.84,""orsa-jaia"":0.02,""path-jaia"":0,""pnpf-jaia"":0,""tirb-jaia"":0.05,""westup-jaia"":0.13}",13.7,11.58,2.12
MAAH,VZAH,"{""maaa-apda"":2.54,""maaa-ccua"":4.28,""maaa-guaa"":0.64,""maaa-jspa"":1.26,""maaa-orsa"":0.84,""maaa-path"":0.67}",10.23,8.12,2.11
DELH,SRAJH,"{""apda-sjaia"":0.04,""ccua-sjaia"":0.11,""eastukna-sjaia"":0.02,""eastup-sjaia"":0.4,""hyda-sjaia"":0.12,""ixca-sjaia"":0.48,""jspa-sjaia"":0,""ncrnonup-sjaia"":3.12,""ncrup-sjaia"":0.3,""orsa-sjaia"":0.01,""path-sjaia"":0,""pnpf-sjaia"":0.02,""westup-sjaia"":0.02}",4.64,2.6,2.04
VZAH,BLRH,"{""apda-blraexnktk"":3.08,""apda-cbea"":0.07,""apda-coka"":0.56,""apda-ixma"":0.09,""apda-nktk"":0.11,""jspa-blraexnktk"":0.28,""jspa-cbea"":0.09,""jspa-coka"":0.04,""jspa-ixma"":0.04,""orsa-blraexnktk"":0.09,""orsa-cbea"":0.01,""orsa-coka"":0.02,""orsa-ixma"":0.04,""orsa-nktk"":0,""path-blraexnktk"":0.1,""path-cbea"":0.01,""path-coka"":0.12,""path-ixma"":0.01,""path-nktk"":0}",4.76,2.75,2.01
DELH,BOMH,"{""eastukna-boma"":0.37,""ncrnonup-boma"":15.73,""ncrnonup-ixub"":0.7,""ncrnonup-snra"":0.62,""ncrup-boma"":6.92,""ncrup-ixub"":0.95,""ncrup-snra"":0.44,""pnpf-boma"":0.48,""pnpf-snra"":0}",26.21,24.26,1.95
GZBH,KNPH,"{""eastukna-apda"":0.02,""eastukna-blraexnktk"":1.26,""eastukna-cbea"":0.27,""eastukna-ccua"":0.25,""eastukna-cgsa"":0.07,""eastukna-coka"":0,""eastukna-eastup"":0.2,""eastukna-guaa"":0.07,""eastukna-hyda"":0.16,""eastukna-idra"":0.19,""eastukna-ixma"":0.05,""eastukna-jspa"":0.02,""eastukna-maaa"":0.53,""eastukna-naga"":0.02,""eastukna-orsa"":0.37,""eastukna-path"":0.06,""ncrup-ccua"":4.29,""ncrup-eastup"":5.76,""ncrup-guaa"":0.81,""ncrup-idra"":2.25,""ncrup-jspa"":0.46,""ncrup-orsa"":1.18,""ncrup-path"":1.03}",19.32,17.43,1.89
DELH,HYDH,"{""jaia-apda"":0.04,""jaia-hyda"":0.54,""jaia-tirb"":0.11,""ncrnonup-apda"":4.19,""ncrnonup-hyda"":11.43,""ncrnonup-tirb"":0.59,""ncrup-apda"":1.16,""ncrup-hyda"":2.8,""ncrup-tirb"":0.09,""pnpf-apda"":0.04,""pnpf-hyda"":0.11,""sjaia-apda"":0.11,""sjaia-hyda"":0.15,""sjaia-tirb"":0.04}",21.4,19.52,1.88
PNQH,IDRH,"{""goia-eastukna"":0.01,""goia-eastup"":0.5,""goia-idra"":0.17,""goia-path"":0.26,""goia-westup"":0.03,""nktk-idra"":0.06,""pnqa-eastukna"":0.76,""pnqa-eastup"":2.93,""pnqa-idra"":6.38,""pnqa-path"":0.54,""pnqa-westup"":0.88}",12.52,10.69,1.83
IDRH,BOMH,"{""eastup-boma"":0.94,""eastup-sguj"":0.35,""guaa-boma"":0.05,""idra-boma"":0.92,""idra-ccua"":0.41,""idra-guaa"":0.04,""idra-sguj"":0.75,""path-boma"":0.21,""path-sguj"":0.01,""westup-boma"":2.43,""westup-sguj"":0.16}",6.27,4.48,1.79
BLRH,AMDH,"{""blraexnktk-amda"":7.46,""blraexnktk-sjaia"":0.38,""cbea-amda"":3.97,""cbea-sjaia"":0.08,""coka-amda"":0.27,""coka-sjaia"":0.01,""ixma-amda"":0.02,""maaa-sjaia"":0.71}",12.9,11.12,1.78
IDRH,HYDH,"{""amda-apda"":1.15,""amda-hyda"":3.59,""amda-tirb"":0.12,""eastukna-apda"":0.02,""eastukna-hyda"":0.16,""eastup-apda"":0.11,""eastup-hyda"":0.29,""eastup-tirb"":0.05,""idra-apda"":0.2,""idra-hyda"":0.29,""idra-tirb"":0.01,""ixca-apda"":1.78,""ixca-hyda"":3.49,""ixca-tirb"":0.28,""westup-apda"":0.17,""westup-hyda"":0.9,""westup-tirb"":0}",12.61,10.95,1.66
GZBH,AMCH,"{""eastukna-ixca"":0.43,""ncrup-ixca"":5.21,""westup-ixca"":0.31}",5.95,4.3,1.65
BOMH,MAAH,"{""boma-maaa"":12.62,""sguj-maaa"":3.03}",15.65,14,1.65
AMCH,DEDH,"{""amda-ixca"":0.89,""apda-ixca"":0.43,""blraexnktk-ixca"":1.08,""boma-ixca"":1.64,""ccua-ixca"":0.31,""coka-ixca"":0.27,""eastukna-ixca"":0.13,""eastup-ixca"":0.19,""goia-ixca"":0.46,""hyda-ixca"":1.71,""idra-ixca"":0.03,""ixca-ixca"":0.64,""ixub-ixca"":0,""jaia-ixca"":0.12,""maaa-ixca"":1.58,""naga-ixca"":0.1,""ncrnonup-ixca"":1.93,""ncrup-ixca"":0.86,""orsa-ixca"":0.01,""pnpf-ixca"":0.27,""pnqa-ixca"":2.04,""sguj-ixca"":0.33,""sjaia-ixca"":0,""snra-ixca"":0.25,""westup-ixca"":0.02}",15.29,13.66,1.63
VZAH,BBIH,"{""apda-jspa"":0.21,""apda-orsa"":0.14,""apda-path"":0.07,""blraexnktk-jspa"":0.91,""blraexnktk-orsa"":1.39,""blraexnktk-path"":0.57,""cbea-jspa"":1.84,""cbea-orsa"":0.29,""cbea-path"":0.04,""coka-jspa"":0,""coka-orsa"":0.14,""coka-path"":0.07,""hyda-jspa"":1.08,""hyda-orsa"":0.55,""hyda-path"":0.43,""ixma-jspa"":0.01,""ixma-orsa"":0,""ixma-path"":0,""maaa-jspa"":1.26,""maaa-orsa"":0.84,""maaa-path"":0.67,""nktk-jspa"":0.01,""nktk-orsa"":0.14,""tirb-orsa"":0,""tirb-path"":0}",10.66,9.1,1.56
